x,y
25.0765,10.1788
25.4014,10.5547
25.8291,10.7532
26.0256,11.1358
26.2615,11.414
26.6194,11.7225
26.9089,11.9762
27.1079,12.1993
27.2175,12.4156
27.2552,12.6294
27.1299,12.8607
27.002,13.0028
26.9571,13.1517
26.8274,13.3368
26.8589,13.4628
26.793,13.73
26.7532,14.1434
26.7424,14.559
26.7276,14.9778
26.6603,15.4251
26.7063,15.799
26.6958,16.2445
26.6641,16.7813
26.5947,17.3292
26.6243,17.8115
26.8427,18.3472
27.0929,18.9872
27.3875,19.9979
27.6811,20.9627
28.0509,22.1101
28.4459,23.4111
28.8123,24.7178
29.0473,26.0539
29.3584,27.4459
29.7838,29.064
30.3219,30.505
30.7961,32.093
31.4341,33.5983
32.1103,35.0851
32.6737,36.9084
32.9183,38.9759
33.2271,40.6041
33.4082,42.0235
33.7519,43.1873
34.1847,44.3021
34.7068,45.1257
35.1697,46.0639
35.6244,46.959
36.1859,47.7421
36.7465,48.7643
37.1897,49.7995
37.7873,51.1747
38.1104,52.5163
38.4424,53.772
38.8862,54.7749
39.3277,55.7942
39.6104,56.5028
40.0312,57.286
40.3473,58.0013
40.7637,58.8916
41.3752,59.6479
41.8798,60.7533
42.3589,61.801
42.8732,62.743
43.3225,63.7436
43.6854,64.7465
44.0022,65.723
44.3763,66.4977
44.6304,67.2617
44.9288,67.8316
45.0412,68.5384
45.5362,68.9672
46.0501,69.7068
46.6665,70.2952
47.2624,70.8066
47.6962,71.4073
48.104,71.8899
48.1261,72.1898
48.1168,72.4322
48.1674,72.6095
48.2441,72.5354
48.3018,72.3216
48.4509,72.1265
48.4598,71.8785
48.6285,71.6956
48.6961,71.5835
48.8098,71.5116
48.9994,71.4847
49.0747,71.4773
49.1892,71.3141
49.3748,71.1495
49.4694,71.1063
49.5968,71.1323
49.8574,71.1059
50.1864,71.1504
50.4748,71.179
50.9553,71.0958
51.6366,70.9616
53.0208,70.5928
54.8266,70.448
56.0542,70.6916
57.9521,70.5615
59.8717,70.506
62.138,70.2653
64.9691,69.9969
67.0914,69.9035
68.7939,69.8602
70.2449,69.2859
71.8583,68.7732
73.6853,68.0174
75.2853,67.2076
77.159,66.0993
79.1783,65.0502
82.386,64.1212
84.5069,62.9586
86.6381,61.4564
88.5239,59.8385
90.0453,58.7666
91.6616,57.3416
93.3163,55.453
94.677,54.0506
95.9898,52.3642
97.0772,50.3127
97.7774,48.7107
98.1917,47.28
98.2894,46.1963
98.136,45.1551
98.0857,44.0388
97.7549,43.0109
97.0605,42.0911
96.4977,41.1311
95.6361,40.2528
94.4731,39.6174
93.1637,38.819
91.7025,38.2993
90.0038,37.6425
88.1777,37.0104
86.3728,36.5726
84.5681,36.2083
82.9298,35.8635
81.381,35.6343
79.7672,35.6866
78.104,35.6508
76.1734,35.9251
73.7378,36.3192
70.9057,36.9789
67.3095,37.9767
63.1288,39.0117
59.3837,40.0144
55.671,40.7531
51.8387,41.7859
48.2073,42.8696
45.1571,44.0884
42.9829,44.8654
41.7119,45.5571
40.9086,46.1591
40.5223,46.3841
40.1744,46.6886
40.076,46.9998
40.2169,47.0294
40.311,47.0833
40.4588,47.2245
40.6393,47.3249
40.8642,47.399
41.2588,47.1725
41.7322,46.9859
41.9278,46.9888
41.9768,46.9396
42.359,46.7213
42.5965,46.7667
42.7366,46.7733
42.7096,46.5871
42.8292,46.4281
42.9461,46.4242
42.9704,46.42
43.1841,46.3052
43.3126,46.241
43.5262,46.1425
43.7439,46.0821
44.0022,45.8804
44.3362,45.5087
44.4588,45.0185
44.8415,44.3736
45.4079,43.7501
46.0922,42.932
46.7409,41.8557
48.0827,40.2612
49.2318,38.4867
50.9632,36.4297
52.1755,34.5879
53.405,32.3998
54.4336,30.4447
55.7501,28.0554
56.8885,25.6003
57.5244,23.5937
58.4356,21.4233
59.0408,19.2763
59.6093,17.1514
60.4044,15.0277
61.3171,12.8413
62.0399,10.6293
62.751,8.86333
63.5904,7.13607
64.773,5.13112
