x,y
74.4189,53.8403
73.4368,53.4274
72.7353,53.4597
72.1133,52.7577
70.3708,51.5156
67.6236,49.9995
64.3225,48.3674
60.0751,46.3273
54.4649,44.298
48.9082,41.7182
44.7043,38.7767
40.5995,36.4346
36.4921,34.28
32.0462,32.3327
27.9978,30.7154
24.9826,29.3887
22.4631,27.6995
20.3046,26.0098
18.5868,24.3302
17.5476,23.0606
17.4355,22.2402
63.0574,58.3876
64.0811,57.3104
65.4814,55.5354
67.8606,53.6157
70.5355,51.334
73.5341,48.6898
76.5575,45.8071
79.1787,43.0551
80.7932,40.6742
81.4788,38.6265
81.8539,36.5632
81.7984,34.8949
81.3986,33.7985
80.7996,33.0157
79.7408,32.4437
78.2247,32.3147
76.431,32.5475
73.8094,32.9741
69.7294,33.9972
64.5694,34.9867
58.4039,36.1888
53.119,37.3136
49.2602,38.7007
46.1352,40.1616
44.0763,41.1222
43.2438,41.7935
43.1764,41.8782
43.43,41.8087
43.8333,41.3817
