x,y
65.5681,53.3585
64.8689,53.2614
63.2084,53.5915
62.3745,52.7703
61.0358,51.7802
57.5426,50.6331
53.4643,48.9749
49.6142,47.202
45.7368,45.2062
41.4368,42.8127
37.0667,41.2991
32.8384,38.9247
28.8108,36.7428
25.1231,34.9739
21.8431,33.412
18.7224,31.6211
15.521,29.7615
12.8045,27.376
10.761,26.3979
9.99457,25.8182
59.8749,50.8549
58.7132,51.0551
56.7597,50.6819
54.1801,49.5521
52.4886,47.6438
51.2149,46.055
49.8651,44.1044
48.1484,41.7483
46.5094,38.8936
45.126,36.2445
44.1273,33.7693
43.1764,31.3559
42.4491,29.0943
42.0056,27.0781
41.5323,25.4566
41.0543,24.3413
40.893,22.7001
40.7309,20.9673
40.6438,19.5942
40.8341,18.8736
82.9599,37.1354
82.2495,37.8041
80.8813,38.3927
79.0795,38.5099
76.8893,38.408
74.7991,37.8468
73.4535,37.2724
71.758,36.4596
68.9656,35.4019
65.6787,33.7708
61.6397,31.7153
57.025,29.6311
52.5112,27.2266
48.6122,24.8661
44.99,22.6163
41.6814,20.2675
39.1041,17.9791
37.0496,15.9161
35.4457,13.5028
34.1403,10.9121
