x,y
75.7632,29.7321
73.7945,30.7594
70.6109,32.2325
66.7993,33.4731
62.4368,34.6997
57.3515,36.4044
52.5678,37.8898
48.0115,39.4423
43.8098,41.361
40.3253,42.9246
37.5582,43.7568
35.3356,44.3319
33.6558,44.8806
32.423,45.1894
31.6332,45.2004
31.3819,44.9242
31.383,44.5888
31.6287,44.1222
31.8816,43.2438
32.1108,41.6535
32.4578,39.4963
32.9442,36.1733
33.8214,32.2801
34.9994,28.2012
36.4996,23.8839
38.324,19.5027
40.2275,14.9919
42.066,10.7505
43.705,7.02702
45.0107,3.77267
45.9869,1.24028
46.6325,-0.109152
46.7386,-0.307356
46.8003,-0.0386922
46.9365,0.459502
47.2937,1.20885
47.5575,1.98787
48.0599,3.01124
49.0986,4.22365
50.5859,5.76669
52.3851,8.09935
54.58,10.484
56.9049,13.187
59.6713,16.611
62.6511,19.7979
65.9689,23.3818
69.5342,26.8373
72.9341,30.3994
76.2894,34.0258
79.1646,37.286
81.3269,39.8485
83.0005,41.4673
60.3916,48.3085
58.4283,46.3539
56.0257,43.8196
53.1858,41.0344
50.2115,38.2326
47.3174,35.338
44.7962,32.2086
42.4798,29.1836
40.3692,26.5128
38.3722,24.4791
36.5474,22.9815
35.0251,22.0012
33.9568,21.217
33.5437,20.9626
33.731,20.7114
34.3272,20.6852
35.3978,20.6506
37.6795,20.4171
41.7653,19.521
46.6882,18.5631
52.2643,17.3804
57.9062,16.9027
63.3354,16.8971
68.285,16.6247
72.6458,16.3437
76.2318,15.8818
78.6686,15.1001
80.1176,14.6979
80.4055,15.0955
80.118,15.6929
79.6383,16.6774
78.7457,18.1773
77.5283,19.5638
75.8246,21.7084
73.9921,24.3564
71.6849,27.1919
69.2612,30.2025
66.7094,33.2411
64.2716,36.7633
61.862,40.1801
60.0741,43.0432
58.9213,44.9528
58.1436,46.7903
57.6455,48.0252
57.154,48.9585
56.8199,49.7316
56.5002,50.0489
