x,y
66.2401,79.6032
64.6644,78.7206
62.8336,77.6398
62.2879,76.7692
62.1449,75.5394
61.8063,73.6531
61.1175,71.4916
60.548,69.2562
59.8635,66.8521
59.1755,64.1403
58.4775,60.9854
57.7837,57.7489
56.8535,54.4443
55.6825,50.6889
54.2826,46.9241
52.8725,42.3819
51.3535,39.0252
49.6074,35.6013
47.9992,32.4954
47.0906,29.5264
46.3071,26.8513
45.943,24.4266
45.4957,22.4843
45.0258,20.8707
44.6237,19.3119
44.2831,18.117
43.9928,17.1623
43.701,16.5153
43.5488,16.4361
43.5937,16.3383
43.7831,16.8249
68.422,75.4921
71.2851,76.0411
74.4852,76.1997
77.1726,76.0346
77.4235,76.3339
77.8399,76.0428
79.2638,74.8636
81.6954,73.4793
86.514,72.076
92.7726,69.5643
97.413,66.9352
98.758,65.9047
100.67,63.781
103.601,61.406
106.717,58.9592
110.133,56.0916
112.894,53.2871
114.762,50.682
116.217,48.3262
117.06,46.0498
116.558,44.6339
116.025,43.6686
115.792,42.2212
115.11,40.7451
113.915,39.5061
111.824,38.5311
108.532,37.8893
103.973,37.5918
98.3834,37.646
91.858,37.7693
85.577,37.7659
80.285,38.0949
75.0272,38.4081
68.7482,38.7788
62.5474,39.3317
57.7417,39.5735
55.0613,40.1438
53.5557,40.3664
52.5794,40.375
51.8284,40.4137
51.4014,40.6053
51.0389,40.8249
50.4799,41.1298
49.6888,41.5509
49.1501,41.7635
