x,y
78.8165,24.7378
77.5157,27.1923
75.4884,29.3449
72.9943,31.417
70.4768,33.1931
68.3284,34.9992
65.82,36.7767
62.9636,38.6704
59.9324,40.5113
58.1868,41.4679
55.9211,42.4481
52.9602,43.6765
49.9533,44.9565
46.8333,45.924
44.084,46.3425
41.9085,46.9035
40.4431,46.9775
39.2923,46.8717
38.6226,46.645
38.1546,46.1075
37.878,45.3892
37.886,44.4045
38.0648,43.2498
38.2424,41.6914
38.6094,39.6995
39.0773,37.3936
40.0065,34.4675
41.232,30.8113
42.489,27.1432
43.5962,23.4184
44.7446,19.0813
46.0121,14.6694
47.3751,10.4123
48.526,6.17356
49.2011,2.95654
49.5394,0.331073
49.8734,-1.66765
50.2374,-3.5449
50.359,-4.81608
50.3944,-5.58373
50.3598,-5.59392
50.4951,-5.58064
50.5106,-5.27878
50.5544,-4.57318
50.6857,-4.13579
50.9086,-3.46774
51.2655,-2.74207
51.5514,-1.64648
52.0443,-0.64027
52.8724,0.782868
54.7926,2.3007
57.5003,4.09681
60.0516,5.88094
62.4721,7.93065
64.8803,10.1298
67.1877,12.2973
68.3238,14.4336
69.1427,16.3205
70.0204,17.7561
71.3411,19.1768
72.7426,20.9281
74.263,22.459
76.7545,24.8579
79.7784,26.9625
81.7968,29.2985
83.4075,31.8275
84.6255,34.4455
85.4136,36.9439
85.7355,39.3689
85.6869,41.0427
85.3826,42.0666
85.1737,42.4529
