x,y
84.8967,77.1388
85.0016,76.403
84.9208,76.1819
84.7849,76.2915
84.6407,75.9757
84.354,75.4336
83.793,74.5138
83.191,73.6247
82.6005,72.5997
81.8116,71.3657
80.8634,70.0428
79.448,68.2615
77.9305,66.1221
76.3572,63.7826
74.5427,60.6702
72.14,57.9686
69.4174,54.4498
66.215,50.8101
62.7423,47.0413
59.5466,43.4437
56.585,39.5122
53.5653,36.8892
51.1209,34.8941
49.0099,33.1253
47.3738,31.4894
46.0023,30.4787
45.0578,29.6201
44.207,29.0526
43.4602,28.717
42.8444,28.3875
42.2042,27.9688
41.4249,27.6446
40.7968,26.9905
40.1082,27.0934
39.5271,26.6537
39.0917,26.8177
76.3921,75.1392
78.8325,75.4
81.2971,75.2623
84.1049,74.7738
86.8453,73.5586
89.7288,71.691
92.4263,70.2467
94.8169,67.8738
96.872,65.5059
98.7123,63.3251
100.571,59.8391
101.933,55.7186
101.985,54.0997
102.524,52.432
102.573,50.0613
102.396,47.6132
101.939,44.7173
101.107,41.2936
100.061,38.6074
98.8809,37.2684
97.8356,36.1335
96.6652,35.0641
95.2424,34.2859
93.6006,33.8327
91.7434,33.706
89.7137,33.8835
87.497,34.1202
85.051,34.4511
82.4205,34.8463
79.3161,35.3999
75.5066,36.2048
70.9271,37.0053
65.4629,38.156
60.288,38.7746
55.7724,39.6672
52.5912,41.3008
50.6679,42.4264
49.4995,43.2966
48.7617,43.8088
48.209,44.259
47.7935,44.5753
47.7566,44.5526
47.9124,43.9784
48.1907,43.4895
