x,y
98.3789,57.4754
97.7773,57.4316
97.0513,57.3145
95.9013,56.9751
94.688,56.4828
93.0565,55.6956
91.0931,54.7756
88.9272,53.5652
86.4526,52.0535
83.6241,50.4315
80.2769,48.7609
77.1202,46.6648
73.8107,44.3106
69.7936,41.702
66.1065,38.9707
62.7923,36.8487
60.5193,35.3025
58.7292,33.9261
57.2562,32.9927
56.1771,32.5105
55.4876,32.2869
55.2268,32.0445
55.0481,32.1383
54.9265,32.0629
54.8129,31.9839
54.8234,32.0804
54.8041,32.0819
54.9565,32.0799
55.0474,32.1803
55.5333,32.1463
42.6599,26.816
41.3584,26.525
39.8157,26.1841
38.0334,25.6648
37.3089,26.6744
37.5397,27.9743
37.1342,27.779
36.8241,27.347
36.5075,26.5858
36.257,25.7067
36.1014,25.4893
35.9203,25.0602
36.0481,24.9723
35.8127,25.0392
35.835,25.0072
36.189,25.0756
35.9823,25.1114
36.1211,25.103
36.2542,24.9873
36.4294,25.2176
36.6204,25.318
36.8201,25.4508
37.2428,25.6684
37.5886,25.8851
37.9057,25.6252
