x,y
76.196,45.9864
76.0825,46.2251
75.8487,46.6846
75.5814,46.4499
75.2581,46.5687
74.8996,46.5105
74.3649,46.7252
73.8842,46.777
73.2695,46.8444
72.5553,46.8274
71.9105,46.6985
71.2808,46.7108
70.7007,46.6362
70.0021,46.4032
69.2528,46.2849
68.4998,46.23
67.6514,45.9031
66.8093,45.4145
65.7836,45.1463
64.8842,44.7191
63.8339,44.4471
62.8737,43.9322
61.9609,43.5332
61.1192,43.0058
60.2893,42.2952
59.3791,41.3803
58.6924,40.8517
57.8934,39.9778
57.3003,38.9623
56.6679,38.0242
56.0152,37.276
55.618,35.871
55.2446,34.8879
54.9417,34.058
54.7338,32.7247
54.7154,31.1322
54.597,29.954
54.5939,28.7803
54.5455,27.3322
54.4882,25.7877
54.468,24.3046
54.5092,23.2064
54.4909,21.6471
54.4603,20.3692
54.6032,18.7782
54.7538,17.4152
54.9768,16.0255
55.006,14.8706
55.375,13.1662
55.6389,11.9144
55.831,10.7391
56.2287,9.62297
56.5532,8.7585
57.0157,7.7986
57.5068,6.83802
58.147,6.00572
58.9028,5.3497
59.7056,4.74143
60.5865,4.20574
61.6171,3.63205
62.7732,3.25296
63.9496,2.87262
65.4651,2.58485
66.8789,2.49065
68.3854,2.5429
70.1962,1.87159
71.6119,2.06086
72.7468,2.30832
73.7851,2.76749
86.7685,25.0889
86.8173,25.7617
86.8449,26.2588
86.8021,26.4914
86.5835,26.3144
86.2737,26.0231
86.0307,25.6941
85.5646,25.3141
84.9539,24.7598
84.1414,24.5225
82.4702,24.2417
80.974,23.8394
79.2997,23.5805
77.3953,23.5441
75.3743,23.1434
73.2379,23.0917
70.7771,23.0761
68.1129,22.7669
65.24,22.8261
61.8831,23.0454
58.8044,23.1189
55.8487,23.0037
52.6911,22.8441
49.2505,22.5462
45.6934,22.8262
41.8983,22.8342
38.2128,22.3906
34.4237,21.9884
30.6059,22.1574
27.1292,22.2391
24.128,21.6529
21.5275,20.934
19.0187,20.9569
16.8335,20.7446
14.8141,20.6534
13.0599,20.3214
11.3987,20.0797
9.77345,20.2665
8.62504,19.171
7.26301,19.1279
5.74784,19.2517
4.43114,18.9691
2.89903,19.3444
1.98949,18.6708
1.06707,18.7369
0.380145,19.0145
0.151529,19.2897
0.398716,19.1724
0.6824,19.3242
1.05992,19.3419
1.58349,19.7028
2.00237,19.8031
2.34106,19.9118
2.73973,19.7943
2.82186,20.1307
3.07404,19.7198
