x,y
74.1983,27.8691
72.4928,29.5218
70.9066,30.9399
69.7519,32.3412
68.3153,33.7422
66.5729,34.7725
64.1374,36.1901
61.5557,37.3441
59.207,37.8946
56.8242,38.2256
54.0442,38.6401
50.7643,38.6998
47.3866,38.7342
44.1222,38.5838
41.3043,37.8787
38.7303,36.8698
36.1953,35.9169
33.9759,34.4019
32.1921,32.7483
30.6279,31.0338
29.386,29.156
28.8074,26.9475
28.3292,24.7491
28.3273,22.4724
28.8865,20.3516
29.9036,18.0976
31.5275,15.9137
33.6607,13.7279
36.4909,11.6202
39.6735,9.65947
43.111,7.86449
47.0248,5.94531
51.2846,4.21012
55.659,2.70963
59.14,2.26162
60.204,2.72083
60.6967,3.42421
60.9921,3.88508
61.4402,4.34164
62.7333,4.81602
64.0291,5.54629
65.3072,6.55851
66.3494,7.79045
67.379,9.40559
68.4559,11.1431
69.6849,13.1067
70.6859,15.19
71.4324,17.1401
71.6913,19.3354
71.9751,20.9215
71.986,22.1306
71.4619,22.7786
71.0659,22.677
70.4141,22.4025
69.8317,22.1051
67.6241,23.2175
63.8659,24.7236
59.8284,26.464
55.8339,28.0636
51.8367,29.3903
47.9427,30.6421
44.663,31.6073
42.0325,32.5811
40.0016,33.0956
38.5415,33.3027
37.9015,33.0141
37.7077,32.6144
89.378,13.9645
88.4241,14.8139
87.275,15.756
85.7119,17.042
83.9077,17.9913
81.758,18.3018
79.1271,18.3874
76.2152,17.7488
75.2599,17.5494
72.6488,17.8446
68.0985,18.3764
62.9639,19.019
57.2987,18.9369
51.1313,18.8427
44.5996,19.0513
38.3152,19.07
32.0709,19.028
26.1634,18.5833
20.4482,17.7642
14.3164,17.2685
7.02446,16.9563
-1.93818,15.6773
-9.83618,18.8474
-8.14391,19.1971
