x,y
68.7195,48.7205
67.5027,48.9737
66.4221,49.1174
65.2992,49.2924
64.3434,49.2984
63.3853,49.1149
62.4533,48.9256
61.2225,47.9853
60.2727,47.5679
58.9859,47.1173
57.7147,46.4965
55.9808,46.5619
54.2823,46.1099
52.683,45.378
50.9606,44.8131
49.3345,44.1457
47.4828,43.3289
45.5701,42.9069
43.38,42.1492
41.0665,41.2786
38.8244,40.0684
36.374,39.7911
34.0063,39.483
31.7883,38.5779
29.9491,38.0488
28.1992,37.7134
26.5009,37.5612
24.9758,37.325
23.6386,36.9634
22.489,36.3127
21.5858,36.6343
20.8618,36.4015
20.5996,36.1323
20.4998,35.9612
20.5502,35.5624
20.624,35.8973
20.8536,35.8241
21.0613,35.5419
21.2676,35.3035
21.5389,34.9009
21.8721,34.002
22.2192,32.6892
22.4527,31.2879
22.7172,29.9578
23.0062,27.8726
23.3457,25.8356
23.636,23.9417
24.1694,21.9723
24.7161,20.058
25.2048,18.2664
25.3619,16.9514
25.7427,15.1212
26.0817,13.0894
26.2147,11.1332
26.3204,9.37797
26.1958,7.91069
26.141,6.36119
26.0314,4.97277
26.1171,3.38423
26.2411,1.92452
26.3419,0.632744
26.5107,-0.645898
26.6326,-1.77705
26.835,-2.8831
27.1629,-3.8024
27.5378,-4.77736
27.9638,-5.42019
28.6182,-6.21306
29.3998,-6.96587
30.287,-7.70993
31.4551,-8.33209
32.406,-8.61608
33.1936,-8.80776
33.9689,-8.82194
34.6239,-8.92078
35.4771,-9.28399
36.2196,-9.19921
36.972,-8.88049
38.2029,-8.68748
39.6987,-8.63458
41.2836,-8.51678
42.9793,-8.39107
44.7011,-8.01162
46.3268,-7.74842
47.649,-6.98187
49.0081,-6.44198
49.9819,-5.9815
50.6888,-5.17881
51.5258,-4.83233
52.4602,-4.15053
53.5231,-3.54085
55.3332,-3.4097
58.5121,-3.26967
62.3347,-3.17427
65.6519,-2.70544
68.4887,-2.3929
70.734,-1.94427
72.5744,-1.45214
74.3624,-1.07031
76.088,-0.560802
77.4519,-0.190856
78.254,0.542858
78.6192,1.40993
78.929,2.03043
79.1749,2.41434
79.1315,2.83846
78.9972,3.09021
78.8029,3.16726
78.4808,3.25587
78.1659,3.27637
77.8426,3.39801
77.6204,3.43028
77.2626,3.66607
76.8196,4.0523
76.3417,4.49359
75.6838,5.27531
74.9189,6.12922
74.1068,7.13509
73.3386,8.20043
72.344,9.81472
71.2748,11.4096
70.0477,13.1672
69.0572,14.9181
68.106,17.1289
67.0358,19.193
66.0551,21.6145
65.0854,24.0663
64.235,26.6285
63.793,28.863
63.9855,30.4111
64.1555,32.0818
64.4638,33.0033
64.5143,33.9398
63.7107,35.9646
62.3411,38.686
61.4014,40.6423
60.9683,42.3566
60.2752,44.3055
59.7041,45.4049
59.0267,47.0959
58.8236,48.3339
58.6153,49.5915
58.7335,50.5038
58.8414,51.1722
59.0549,51.4083
59.1752,51.5096
59.2212,51.6101
59.2857,51.4353
59.3821,51.1563
