x,y
51.954,41.8319
51.5305,40.9138
51.4788,40.1469
51.6717,38.8679
52.4834,37.5996
53.2041,35.3194
53.8553,32.782
54.5479,30.4643
55.2357,28.2509
55.9885,26.1809
56.4643,24.0792
56.9509,21.949
57.2345,19.8006
57.126,17.6342
57.6475,15.3086
58.3033,12.726
59.3059,10.0002
60.1848,7.07806
61.3042,3.75365
62.4272,0.806675
62.9154,-1.63954
63.5491,-3.78488
64.7056,-6.0045
75.9696,21.986
75.5246,20.9862
74.9306,19.9652
74.0945,18.5111
73.1655,16.4966
71.9362,14.109
70.2672,11.7882
68.9226,8.76962
67.3791,6.28326
66.3247,3.4769
65.3395,1.0886
64.5294,-0.936786
63.7602,-2.78956
63.0862,-4.45837
62.7367,-5.72642
62.4587,-6.58279
62.099,-6.97552
61.8293,-6.93831
61.3019,-6.32697
61.0911,-5.63863
60.5295,-4.5782
59.8492,-3.2453
59.0656,-1.92614
58.366,-0.599722
57.6288,0.479764
57.0046,1.61276
56.1552,2.62553
55.0194,3.97317
53.8155,5.26879
52.7908,6.40804
51.2578,7.58478
49.4516,8.88009
47.7717,10.0883
46.0262,11.3784
44.5315,12.5637
42.8113,13.6957
40.9892,14.8609
39.0766,16.0352
37.0637,17.3026
35.2317,18.5679
33.7658,20.0916
32.7232,21.2479
32.1121,22.1606
31.8993,22.6677
31.7331,23.0267
31.7124,23.2218
31.8447,23.1883
