x,y
82.4225,52.6998
81.899,52.933
81.2834,52.2478
80.4622,51.8991
79.3699,51.3178
77.699,51.1447
75.8435,50.7056
73.8375,50.125
71.6591,49.55
69.5171,48.5685
67.5044,47.5133
65.7162,46.2249
63.9494,44.6699
62.3057,42.6665
60.8472,40.4343
59.5935,37.8504
58.7391,34.7546
58.8753,31.1953
59.3637,28.3994
60.6133,24.6786
62.6059,21.3179
65.0429,17.5932
67.5663,14.4888
70.5984,11.2408
73.6898,8.76422
76.6601,6.2269
79.7356,4.41512
82.888,2.73716
85.8919,1.30661
88.6742,0.243688
90.8003,-0.231773
92.2489,0.279018
93.5251,0.465306
102.782,19.0621
100.347,20.9562
98.0306,22.5158
96.3695,23.5486
94.3907,24.2313
91.6194,25.3398
87.9636,26.0497
83.3771,27.2
78.055,28.0994
71.7777,29.1033
65.1169,29.3617
58.4132,29.4832
52.077,30.303
46.1934,30.8273
40.9547,31.0951
37.6974,30.5972
34.6588,30.0249
31.7082,29.5567
28.8999,29.8745
26.6225,29.9805
24.3716,29.5964
22.5926,30.0273
21.1221,30.1122
19.662,29.932
18.7224,29.8693
18.0023,29.9011
17.5353,29.9836
17.3821,30.1321
17.6552,30.0627
18.1728,29.8283
