x,y
67.9975,42.6518
67.6616,42.5351
67.1785,41.7373
65.6417,40.7558
63.6434,39.4935
61.4021,37.7578
58.8027,35.7514
56.1284,33.4506
53.3872,31.1768
50.706,28.9828
48.0192,26.809
45.4037,24.8346
42.9198,23.0897
40.5015,21.5775
38.1819,20.4584
36.0587,19.4944
34.1726,18.659
32.7118,17.9821
31.5497,17.5183
30.8214,17.1853
30.5804,16.9185
30.7906,16.6601
31.3897,16.2015
32.4597,15.9611
34.5762,15.1021
37.2763,13.9261
40.5996,12.8136
44.2481,11.5335
47.9301,10.4618
51.7016,9.60587
55.4751,8.77094
59.0385,8.19712
62.4649,7.44932
65.4607,7.1064
67.9843,6.71312
70.3996,6.36511
72.3875,6.18801
73.8194,6.27896
74.8163,6.36146
75.6556,6.5429
76.0773,6.8665
76.1042,7.27191
75.9462,7.69681
75.6079,8.08779
75.2727,8.54606
74.9165,9.08188
74.5128,9.73465
74.106,10.3906
73.6795,11.2799
72.8616,13.1526
71.3461,16.2954
69.6489,19.8981
67.8874,23.6181
66.2743,27.5184
64.8935,31.6263
64.2283,35.676
63.9881,39.2912
64.0858,42.131
64.2016,44.8515
64.4091,47.0523
64.6977,48.3561
65.1819,48.7507
65.5427,49.0471
