x,y
39.9379,62.9162
39.5361,63.5833
39.3807,64.1016
39.3051,64.4592
39.221,64.9207
39.066,65.0763
39.0477,65.0117
39.0067,64.8901
39.0467,64.3068
39.1396,64.1734
39.0484,64.2354
38.7866,64.0701
38.6337,63.8748
38.4401,63.4463
38.1539,62.9328
37.7816,62.2054
37.2994,61.4635
36.84,60.8024
36.1945,60.0101
35.5079,59.0409
34.7624,57.766
33.9626,56.3246
32.9902,54.9447
31.9322,53.1806
30.8807,51.3997
29.6727,49.458
28.4921,48.025
27.3288,46.1606
26.1577,44.0528
25.2098,42.1557
24.2885,40.4301
23.5391,38.7696
23.1043,37.4346
22.8855,36.4468
22.9091,35.3999
22.9589,34.7632
23.0357,34.3643
23.2151,34.2083
23.3883,33.8937
23.438,34.2496
23.5279,34.403
23.6482,34.764
23.7351,34.9922
23.833,35.4923
23.9414,35.6796
24.0013,35.8904
23.9801,36.0879
24.0497,36.0982
24.0049,36.0513
24.0627,36.0096
24.1194,36.2884
24.192,36.3291
24.2622,36.1338
24.3801,35.8561
24.5646,35.604
24.9141,35.2704
25.8834,34.7292
26.7871,34.4566
27.9332,34.2043
29.2209,33.643
30.4897,32.8315
31.9018,32.2612
33.546,31.4926
35.4466,30.8203
37.5961,30.0292
39.8952,29.0625
42.2925,28.4944
45.11,27.5151
47.6434,26.685
50.0635,25.8849
52.4408,25.1186
55.022,24.2249
57.7599,23.2928
60.1629,22.6463
62.0544,21.9916
63.8835,21.3505
65.7939,20.9776
67.6536,20.3539
69.206,19.7427
70.5949,19.0907
71.8504,18.7291
73.1242,18.2397
74.3632,17.7787
75.4493,17.4489
76.2282,17.1082
76.9354,16.8786
77.5989,16.5282
78.1136,16.2707
78.5135,16.0515
78.7404,15.8724
78.8412,15.7486
78.8134,15.7902
78.7582,15.8353
78.6136,15.9386
78.3949,16.1081
78.1928,16.3338
78.0021,16.559
77.8177,16.7864
77.7484,17.0266
77.7514,17.3415
77.8146,17.6279
77.9082,17.9526
78.0359,18.2723
78.1443,18.625
78.241,18.9681
78.2424,19.6144
78.3738,20.3954
78.8127,21.2489
79.1545,22.1448
79.586,23.1111
80.0688,24.1334
80.4593,25.3022
80.6729,26.3967
80.7369,27.6433
80.8198,28.7341
80.8481,30.0581
81.0466,31.28
81.3165,32.2182
81.7251,33.4445
82.2466,34.6621
82.6167,36.006
83.2278,37.4102
83.5656,38.7809
83.6538,40.1176
83.5655,41.3461
83.4537,42.5193
83.2715,43.3567
82.9117,44.2328
82.7366,44.8109
82.579,45.1843
82.5055,45.3022
82.5062,45.1113
82.5492,44.8291
82.6711,44.4715
82.7752,44.0346
82.9355,43.8551
83.0477,43.5581
83.2668,43.2609
83.495,42.9826
83.6014,42.7246
83.7293,42.6177
83.8144,42.5882
83.8124,42.5409
83.7597,42.6477
83.6129,42.8246
83.4094,42.8783
83.1432,43.1392
82.9298,43.5091
82.6153,43.8214
82.1978,44.2401
81.8678,44.6649
81.358,45.1506
81.029,45.3145
80.5092,45.8038
79.8943,46.5117
79.4113,46.9504
79.005,47.3881
78.6042,47.829
78.1883,48.3021
77.7409,48.7352
77.262,49.2257
76.441,49.3372
75.5623,49.8576
74.4254,50.7759
72.6846,50.9664
71.1353,51.959
69.5954,52.934
67.7627,53.9611
65.3851,54.5294
63.2159,56.026
60.2161,57.1287
57.1215,57.9661
54.2175,59.047
51.8036,60.3469
49.126,61.5626
46.4861,62.6074
44.5249,63.5001
43.232,64.2766
41.8666,64.6837
40.4614,65.1567
39.0521,65.5379
37.4368,65.8943
36.0924,66.0578
34.689,66.8458
33.6851,67.341
33.216,67.6838
33.113,67.9358
33.1963,67.9069
33.342,67.9942
