x,y
72.395,71.2323
71.8312,71.0268
71.2045,70.9071
70.4477,70.7157
69.2289,70.3728
67.7164,70.029
65.5266,69.5776
62.8992,69.2877
59.9852,68.7428
56.6674,68.2104
53.4556,67.1499
50.2765,66.0825
47.3578,64.9417
44.4739,63.8416
41.7445,62.6911
39.0982,61.4163
36.5132,60.0488
33.9295,58.6565
31.4359,56.9885
28.8391,55.4904
26.5013,54.1134
24.2226,52.7961
22.2681,51.6879
20.7687,50.5469
20.3416,49.7906
20.5434,49.5161
20.9582,49.4207
21.4009,49.3252
21.9308,49.3426
22.5188,49.2187
23.6367,48.8549
25.1105,48.5315
27.0694,47.9966
29.6559,47.4068
32.905,46.6419
36.5531,45.9738
40.55,44.9913
44.698,44.1672
48.7359,43.1597
52.5717,42.2281
56.0663,41.2876
59.2784,40.2617
62.3156,39.2455
65.0543,37.8941
67.5414,36.9459
70.0055,35.9453
72.2659,35.0626
74.1098,34.4459
75.5386,34.1852
76.5839,34.2141
77.0872,34.5786
77.1686,34.9886
77.209,35.5713
77.2185,36.1664
77.1405,36.8331
77.3913,37.7274
77.6528,38.6991
77.8079,39.9888
77.8427,41.6413
77.835,43.4596
77.4388,45.3413
76.8818,47.3944
76.1309,50.0309
75.3805,52.4045
74.4574,54.7817
73.6899,57.4269
72.9707,59.8149
72.2954,62.1205
71.4465,64.3511
70.6457,66.3784
69.6751,68.2874
68.7581,70.24
67.8883,71.874
67.1807,73.4102
66.4077,74.8734
65.857,76.1772
65.3337,77.5017
64.8491,78.6735
64.3831,79.5633
63.9135,80.1135
63.3944,80.4731
63.2064,80.6259
63.1087,80.5111
63.1618,80.6085
63.1571,80.5288
63.2605,80.4293
63.3464,80.3244
63.485,80.2451
63.6018,80.1477
63.6666,80.0261
63.7727,79.9952
41.3806,74.0676
41.8011,73.8355
42.423,73.4576
42.9499,72.7679
43.2498,72.6711
43.43,71.7049
43.4369,71.6649
43.389,71.2963
43.4061,70.495
43.5498,69.8873
43.7672,68.3622
44.1314,67.2401
44.4394,66.0313
44.7606,64.7812
45.3087,62.7182
45.7645,60.6748
46.2937,58.3352
46.8352,55.9139
47.4341,53.3804
47.9805,50.8102
48.5585,48.6715
49.1965,46.4521
49.7107,44.6464
50.097,42.7538
50.4152,41.2829
50.6103,39.7705
50.8883,38.373
51.0996,37.1423
51.2053,36.6452
51.341,36.3718
51.4195,36.4912
51.4578,36.8874
51.3782,37.244
51.1874,37.8994
51.2356,38.5
51.4653,38.8833
52.1354,39.9064
53.44,41.1713
55.229,42.3662
57.4175,43.6177
59.8889,45.0883
62.3741,46.5877
64.893,48.3373
67.0935,49.7732
69.3263,51.1041
71.8005,52.3362
74.6437,53.68
78.037,54.7771
81.1713,55.4514
84.1331,55.6609
86.6605,55.8738
88.6716,56.522
90.1983,56.6201
91.1358,56.999
91.5593,57.3889
91.568,57.6731
91.4195,57.8641
91.2219,58.0613
91.0357,58.1325
90.9111,58.0939
90.6282,58.2907
90.1891,58.0915
89.5333,58.0627
88.7775,58.6515
87.5436,59.0772
85.8721,59.9819
83.6868,60.7954
81.1911,61.8552
78.4045,63.2229
75.2768,64.7859
71.9507,66.3221
68.0245,67.3568
63.5545,68.6319
59.6082,70.1999
55.282,71.4128
50.742,72.3795
46.8879,74.6604
44.5739,74.9826
43.5925,75.2388
43.3157,75.4518
43.2726,75.7388
43.4577,75.8647
43.764,75.747
