x,y
67.4536,53.1709
64.8496,53.0074
63.2683,52.5362
61.7551,52.7652
58.7108,52.3937
55.0508,51.3629
51.5132,49.5501
48.0335,47.2705
44.3095,44.715
40.3807,42.5823
36.3747,40.3421
32.1713,37.8763
27.946,35.5973
24.4332,33.5698
21.6799,31.0872
19.1572,29.0813
16.7806,27.1886
15.14,25.6843
14.3083,24.3626
60.1991,52.0208
63.397,51.7542
64.94,51.6123
66.0425,51.0735
68.3768,49.9528
71.4098,47.9379
74.3819,45.5472
77.033,43.0879
78.8848,40.9155
79.9442,38.6379
80.5895,36.2252
80.6624,34.2052
80.2303,32.4482
79.4314,31.0014
78.1819,29.7536
76.3547,28.9316
74.0094,28.6153
70.9807,28.4902
67.5326,29.0226
63.6101,29.535
59.3862,30.2094
54.7066,31.3785
50.5819,32.5794
47.0492,33.7904
44.0877,34.8618
41.6107,35.6636
39.4896,36.2344
37.5083,36.7608
35.9598,36.9644
34.9692,37.026
34.2831,36.5765
