x,y
80.6071,38.4606
79.6704,39.2923
78.7595,40.0813
77.8028,40.6316
76.9098,40.6667
75.5202,40.8922
73.7325,40.9674
71.4019,40.6862
68.6449,40.8474
65.6415,41.2045
62.3304,40.7664
59.0703,40.8539
55.6748,41.2812
52.2924,41.6365
49.0594,41.9528
46.1958,42.3839
43.6554,43.0141
41.4815,43.7851
39.71,44.4397
38.405,45.022
37.6115,45.4785
37.2701,45.9807
37.2146,46.2315
37.3001,46.2093
37.5313,46.0485
37.89,45.7851
38.2643,45.545
38.6586,45.1544
39.106,44.7223
39.9476,44.2198
40.5267,43.5252
41.1834,42.5747
41.6362,41.622
42.0141,40.4757
42.2252,39.2801
42.4695,37.7067
42.6299,35.9007
42.626,34.3197
42.6146,32.645
42.5914,30.7465
42.5536,28.9144
42.5262,26.9175
42.3548,25.0755
42.1582,23.3995
42.0095,21.6554
41.6947,20.2776
41.5137,18.9613
41.3663,17.8328
41.2266,16.8594
41.0698,16.0129
40.9418,15.1579
40.7785,14.5832
40.6772,14.0044
40.6285,13.8819
40.6673,13.5836
40.7587,13.3526
40.7891,13.4173
40.7181,13.8494
40.8063,14.1189
40.914,14.0669
41.1443,14.332
41.276,14.6136
41.5185,14.7734
41.7552,15.0569
42.6644,15.5046
43.8603,15.8905
45.2374,16.354
46.9257,16.9357
48.7416,17.2904
50.4582,17.7792
52.4165,18.0688
54.3448,18.5025
56.5337,18.5452
58.8578,18.6402
61.3368,18.5585
63.8389,18.5144
66.3422,18.3771
68.9,18.2799
71.4363,18.1764
73.927,17.9546
76.4167,17.8454
78.9228,17.6395
81.0623,17.4725
82.8234,17.4966
84.2244,17.3654
85.1595,17.3483
85.7777,17.2773
86.1998,17.2649
86.2658,17.1949
86.1797,17.182
86.0285,17.2883
85.7325,17.2695
85.4427,17.3882
85.1384,17.5374
84.8075,17.7859
84.3133,18.094
83.8184,18.432
83.2916,18.8297
82.7974,19.4084
82.3677,19.9691
81.9268,20.6909
81.426,21.6681
80.9875,23.0153
80.5846,24.5137
80.1586,26.1307
79.5658,28.1384
78.8667,30.409
78.1855,32.6881
77.4241,35.3804
76.5638,37.7158
75.7888,40.1742
74.8048,42.8874
74.0224,44.9827
72.9225,47.1257
71.9325,49.4927
71.1628,51.8683
70.5626,53.2863
70.0088,54.5118
69.5882,55.8891
69.3704,57.1966
69.1962,56.2304
69.1101,56.6751
69.0237,57.6958
