x,y
77.0396,24.1992
76.1323,25.9706
75.2589,27.2881
74.66,28.2732
74.1012,28.9272
73.6436,29.4977
73.3633,30.0374
73.1316,30.2599
72.9637,30.4595
72.6336,31.1066
72.2187,31.6428
72.0584,31.9729
71.8241,32.08
71.5053,32.2595
71.0797,32.453
70.6645,32.4595
70.3144,32.7955
69.9374,33.105
69.593,33.4402
69.2514,33.8123
68.746,34.4309
68.1784,35.0576
67.8564,35.4536
67.3665,36.003
66.5108,36.9211
64.8116,38.2494
61.6752,40.2199
57.234,42.6592
55.0142,44.1866
52.34,45.5799
49.4315,47.1581
47.0705,48.8242
45.3282,50.0454
44.4645,50.7407
43.8566,51.1073
43.3811,51.6147
42.8462,52.068
42.3529,52.3869
41.8745,52.7114
41.7567,52.6467
41.877,52.4905
42.1966,52.2054
42.5777,51.7801
43.022,51.1941
43.2054,50.5161
43.2307,50.3788
43.2345,49.2014
43.004,48.3933
42.7393,47.6055
42.5361,46.7817
42.3415,46.0799
41.8412,44.9973
41.3487,43.7345
40.6575,42.5259
39.8446,41.1743
38.8213,39.4714
37.7445,37.6998
36.8749,35.2513
35.7482,32.9381
34.6775,30.1867
33.6914,27.6457
32.8766,25.3156
32.3446,23.0035
31.9042,21.0615
31.6097,19.2842
31.4907,17.6688
31.2757,16.2266
30.9046,14.9034
30.4966,13.8926
30.0696,12.9435
29.806,12.1551
29.6513,11.4767
29.3907,11.2039
29.2914,11.2118
29.3848,11.0448
29.6611,11.3467
30.1224,11.6372
30.7428,11.53
31.5502,11.488
32.5352,11.7465
33.8119,11.7844
35.3502,11.9395
37.4226,11.7264
39.525,11.3793
41.7778,11.2
44.5134,10.6818
47.6966,9.96334
51.1497,9.13025
54.7705,8.3409
58.4163,7.73838
62.2241,6.92176
64.5513,6.4834
66.0483,6.21511
67.5794,5.7592
69.0048,5.3888
70.0466,5.18649
70.5669,5.05253
70.7606,5.20606
70.8028,5.26759
70.7207,5.54776
70.6135,5.77451
70.4996,6.1618
70.392,6.44843
70.3134,6.85902
70.252,7.2767
70.1732,7.70734
70.0803,8.40506
70.0333,9.15509
69.9556,9.996
69.7383,11.4152
70.0272,12.8628
70.1677,14.4952
70.3318,16.0116
70.3588,17.337
70.3606,18.5434
70.429,19.5986
70.5787,21.366
70.6851,24.2478
71.0785,27.396
71.5695,30.3595
71.7711,33.6989
71.9161,36.5197
71.635,38.8273
71.3485,40.7894
71.1554,42.5596
70.9346,44.2757
70.8342,45.9092
70.8409,47.5038
70.9635,48.8073
70.9525,49.6346
