x,y
59.9338,33.4392
59.3017,34.7532
58.4556,36.1794
57.1999,37.7988
56.0414,39.1936
54.9467,40.5825
54.0667,41.1301
53.1597,42.1368
52.2367,42.7889
51.2136,43.3174
50.24,43.5419
49.2591,43.9186
48.011,43.803
46.7463,44.0482
45.3227,44.0162
43.934,43.8823
42.3479,43.6149
40.5621,43.3172
38.7931,42.9053
37.3135,42.1767
36.26,41.7816
35.4438,41.2713
34.6789,40.3613
33.8106,39.6203
33.1017,38.7602
32.1189,37.8487
31.2768,37.2356
30.5382,36.1028
30.015,35.1451
29.8504,34.2118
29.9425,33.192
30.072,32.5698
30.3843,31.9995
30.6243,31.4574
31.0657,30.8037
31.6709,30.0807
32.2477,29.5506
32.9797,29.2508
33.7746,29.1417
34.6655,28.7588
35.464,28.5102
36.2686,28.6287
37.1359,28.4543
38.1106,28.4716
39.1915,28.6911
40.3881,28.7371
41.5302,28.9114
42.8323,29.0642
44.2489,29.2859
45.6973,29.5421
47.4185,29.7978
48.9732,30.2571
50.3484,30.5821
51.6028,31.0441
52.7966,31.4978
53.787,31.9291
54.6861,31.9246
55.1828,32.244
55.4467,32.7727
55.4721,33.0996
55.2471,33.5107
55.0215,33.8649
54.7192,34.0847
54.4534,34.2414
54.1733,34.1678
53.904,34.1394
53.7688,34.0415
53.7177,33.9501
81.1318,59.4946
80.9451,59.3027
80.8507,59.0058
80.7375,58.7189
80.6469,58.3516
80.5679,58.08
80.477,57.6929
80.3852,57.426
80.1485,57.0359
79.7347,56.4829
79.1848,55.6209
78.6866,55.0693
77.8658,53.7476
77.1897,52.4956
76.2006,50.9325
74.9764,49.5345
73.7221,47.3386
72.2097,45.0639
70.4601,43.4945
68.6874,41.13
66.782,38.9248
64.7261,36.8756
63.0719,34.8981
61.6584,32.9914
60.5362,31.0252
59.7145,29.6448
58.9437,28.5022
58.4295,27.5557
58.0398,26.9967
57.7619,26.7631
57.5952,26.6684
57.5898,26.7561
